# x_m;y_m
249.0000;-11.0000
249.0000;135.0000
249.0000;313.0000
251.0000;-13.0000
251.0000;109.0000
251.0000;133.0000
251.0000;135.0000
251.0000;315.0000
253.0000;-11.0000
253.0000;-1.0000
253.0000;3.0000
253.0000;107.0000
253.0000;309.0000
255.0000;-13.0000
255.0000;-3.0000
255.0000;9.0000
255.0000;309.0000
255.0000;311.0000
257.0000;1.0000
257.0000;11.0000
257.0000;107.0000
257.0000;121.0000
257.0000;123.0000
257.0000;125.0000
257.0000;127.0000
257.0000;307.0000
257.0000;309.0000
257.0000;311.0000
259.0000;7.0000
259.0000;111.0000
259.0000;117.0000
259.0000;119.0000
259.0000;123.0000
261.0000;121.0000
261.0000;307.0000
261.0000;309.0000
263.0000;11.0000
263.0000;111.0000
263.0000;113.0000
263.0000;305.0000
263.0000;307.0000
265.0000;309.0000
267.0000;15.0000
269.0000;305.0000
269.0000;307.0000
273.0000;305.0000
275.0000;5.0000
275.0000;299.0000
275.0000;301.0000
277.0000;1.0000
277.0000;3.0000
277.0000;7.0000
277.0000;301.0000
279.0000;-1.0000
281.0000;-1.0000
281.0000;1.0000
281.0000;295.0000
283.0000;1.0000
285.0000;-5.0000
285.0000;-3.0000
285.0000;297.0000
287.0000;293.0000
289.0000;293.0000
291.0000;3.0000
291.0000;11.0000
291.0000;13.0000
293.0000;3.0000
293.0000;17.0000
293.0000;23.0000
295.0000;9.0000
295.0000;19.0000
295.0000;21.0000
295.0000;293.0000
297.0000;23.0000
297.0000;289.0000
299.0000;19.0000
299.0000;291.0000
301.0000;21.0000
303.0000;21.0000
307.0000;19.0000
307.0000;285.0000
309.0000;27.0000
309.0000;285.0000
311.0000;27.0000
311.0000;283.0000
313.0000;27.0000
313.0000;283.0000
313.0000;285.0000
315.0000;31.0000
315.0000;281.0000
317.0000;29.0000
317.0000;283.0000
319.0000;29.0000
319.0000;31.0000
321.0000;277.0000
321.0000;281.0000
323.0000;33.0000
323.0000;277.0000
325.0000;33.0000
325.0000;277.0000
327.0000;273.0000
327.0000;275.0000
329.0000;33.0000
329.0000;269.0000
331.0000;267.0000
331.0000;271.0000
333.0000;267.0000
333.0000;269.0000
335.0000;29.0000
335.0000;263.0000
335.0000;267.0000
337.0000;27.0000
337.0000;29.0000
337.0000;263.0000
337.0000;267.0000
339.0000;27.0000
341.0000;257.0000
341.0000;259.0000
343.0000;29.0000
343.0000;257.0000
345.0000;33.0000
345.0000;253.0000
345.0000;255.0000
347.0000;31.0000
347.0000;249.0000
347.0000;251.0000
347.0000;253.0000
347.0000;255.0000
349.0000;245.0000
349.0000;249.0000
351.0000;33.0000
351.0000;247.0000
353.0000;37.0000
353.0000;237.0000
353.0000;245.0000
355.0000;39.0000
355.0000;233.0000
355.0000;235.0000
355.0000;239.0000
355.0000;241.0000
357.0000;41.0000
359.0000;43.0000
359.0000;227.0000
359.0000;229.0000
361.0000;223.0000
363.0000;221.0000
363.0000;227.0000
365.0000;45.0000
365.0000;223.0000
367.0000;215.0000
367.0000;219.0000
369.0000;215.0000
369.0000;217.0000
371.0000;49.0000
371.0000;211.0000
373.0000;47.0000
373.0000;207.0000
373.0000;213.0000
375.0000;47.0000
375.0000;205.0000
377.0000;47.0000
377.0000;207.0000
