# x_m,y_m,w_tr_right_m,w_tr_left_m
-47.0796,177.3649,0.8380,0.8380
-47.0796,177.4293,0.8405,0.8405
-47.0796,177.4938,0.8380,0.8380
-47.0796,177.5582,0.8154,0.8154
-47.0796,177.6227,0.7973,0.7973
-47.0796,177.6872,0.7842,0.7842
-47.0796,177.7516,0.7762,0.7762
-47.0796,177.8161,0.7735,0.7735
-47.0796,177.8805,0.7735,0.7735
-47.0796,177.9450,0.7735,0.7735
-47.0796,178.0095,0.7735,0.7735
-47.0796,178.0739,0.7735,0.7735
-47.0796,178.1384,0.7735,0.7735
-47.0152,178.2028,0.8380,0.8380
-46.9507,178.2673,0.8380,0.8380
-46.9507,178.3318,0.8380,0.8380
-46.9507,178.3962,0.8380,0.8380
-46.9507,178.4607,0.8380,0.8380
-46.9507,178.5251,0.8380,0.8380
-46.9507,178.5896,0.8380,0.8380
-46.9507,178.6541,0.8380,0.8380
-46.9507,178.7185,0.8380,0.8380
-46.9507,178.7830,0.8380,0.8380
-46.9507,178.8474,0.8154,0.8154
-46.9507,178.9119,0.7973,0.7973
-46.9507,178.9764,0.7842,0.7842
-46.9507,179.0408,0.7762,0.7762
-46.9507,179.1053,0.7735,0.7735
-46.9507,179.1697,0.7735,0.7735
-46.9507,179.2342,0.7735,0.7735
-46.9507,179.2987,0.7735,0.7735
-46.9507,179.3631,0.7735,0.7735
-46.9507,179.4276,0.7735,0.7735
-46.9507,179.4920,0.7735,0.7735
-46.9507,179.5565,0.7735,0.7735
-46.8862,179.6210,0.8380,0.8380
-46.8218,179.6854,0.8380,0.8380
-46.8218,179.7499,0.8380,0.8380
-46.8218,179.8143,0.8380,0.8380
-46.8218,179.8788,0.8380,0.8380
-46.8218,179.9433,0.8380,0.8380
-46.8218,180.0077,0.8380,0.8380
-46.8218,180.0722,0.8380,0.8380
-46.8218,180.1366,0.8154,0.8154
-46.8218,180.2011,0.7973,0.7973
-46.8218,180.2656,0.7842,0.7842
-46.8218,180.3300,0.7762,0.7762
-46.8218,180.3945,0.7735,0.7735
-46.8218,180.4589,0.7735,0.7735
-46.8218,180.5234,0.7735,0.7735
-46.8218,180.5879,0.7735,0.7735
-46.8218,180.6523,0.7735,0.7735
-46.8218,180.7168,0.7735,0.7735
-46.8218,180.7812,0.7735,0.7735
-46.8218,180.8457,0.7735,0.7735
-46.8218,180.9102,0.7735,0.7735
-46.7573,180.9746,0.8380,0.8380
-46.7573,181.0391,0.8380,0.8380
-46.6929,181.1035,0.8380,0.8380
-46.6929,181.1680,0.8380,0.8380
-46.6929,181.2325,0.8380,0.8380
-46.6929,181.2969,0.8380,0.8380
-46.6929,181.3614,0.8380,0.8380
-46.6929,181.4258,0.8154,0.8154
-46.6929,181.4903,0.7973,0.7973
-46.6929,181.5548,0.7842,0.7842
-46.6929,181.6192,0.7762,0.7762
-46.6929,181.6837,0.7735,0.7735
-46.6929,181.7481,0.7735,0.7735
-46.6929,181.8126,0.7735,0.7735
-46.6929,181.8771,0.7735,0.7735
-46.6929,181.9415,0.7735,0.7735
-46.6929,182.0060,0.7735,0.7735
-46.6929,182.0704,0.7735,0.7735
-46.6929,182.1349,0.7735,0.7735
-46.6929,182.1994,0.7735,0.7735
-46.6929,182.2638,0.7735,0.7735
-46.6929,182.3283,0.7735,0.7735
-46.6284,182.3927,0.8380,0.8380
-46.6284,182.4572,0.8380,0.8380
-46.5639,182.5217,0.8380,0.8380
-46.5639,182.5861,0.8380,0.8380
-46.5639,182.6506,0.8380,0.8380
-46.5639,182.7150,0.8380,0.8380
-46.5639,182.7795,0.8380,0.8380
-46.5639,182.8440,0.8154,0.8154
-46.5639,182.9084,0.7973,0.7973
-46.5639,182.9729,0.7842,0.7842
-46.5639,183.0373,0.7762,0.7762
-46.5639,183.1018,0.7735,0.7735
-46.5639,183.1663,0.7735,0.7735
-46.5639,183.2307,0.7735,0.7735
-46.5639,183.2952,0.7735,0.7735
-46.5639,183.3596,0.7735,0.7735
-46.5639,183.4241,0.7735,0.7735
-46.5639,183.4886,0.7735,0.7735
-46.5639,183.5530,0.7735,0.7735
-46.5639,183.6175,0.7735,0.7735
-46.5639,183.6819,0.7735,0.7735
-46.5639,183.7464,0.7735,0.7735
-46.5639,183.8109,0.7735,0.7735
-46.5639,183.8753,0.7735,0.7735
-46.5639,183.9398,0.7735,0.7735
-46.5639,184.0042,0.7735,0.7735
-46.4995,184.0687,0.7735,0.7735
-46.4995,184.1332,0.7735,0.7735
-46.4995,184.1976,0.7735,0.7735
-46.4995,184.2621,0.7735,0.7735
-46.4995,184.3265,0.7735,0.7735
-46.4995,184.3910,0.7735,0.7735
-46.4995,184.4555,0.7735,0.7735
-46.4995,184.5199,0.7545,0.7545
-46.4995,184.5844,0.7350,0.7350
-46.4995,184.6488,0.7207,0.7207
-46.4995,184.7133,0.7120,0.7120
