# x_m,y_m,w_tr_right_m,w_tr_left_m
15.2743,26.3978,1.0910,1.0910
15.2073,26.3308,1.0807,1.0807
15.1402,26.2638,1.0597,1.0597
15.0732,26.1968,1.0469,1.0469
15.0732,26.1298,1.0597,1.0597
15.0062,26.0627,1.0807,1.0807
14.9392,25.9957,1.0807,1.0807
14.8722,25.9287,1.0597,1.0597
14.8051,25.8617,1.0469,1.0469
14.8051,25.7947,1.0597,1.0597
14.7381,25.7276,1.0807,1.0807
14.6711,25.6606,1.0910,1.0910
14.6041,25.5936,1.0807,1.0807
14.5371,25.5266,1.0597,1.0597
14.4700,25.4596,1.0469,1.0469
14.4700,25.3925,1.0597,1.0597
14.4030,25.3255,1.0807,1.0807
14.3360,25.2585,1.0807,1.0807
14.2690,25.1915,1.0597,1.0597
14.2020,25.1245,1.0469,1.0469
14.2020,25.0574,1.0597,1.0597
14.1349,24.9904,1.0807,1.0807
14.0679,24.9234,1.0807,1.0807
14.0009,24.8564,1.0597,1.0597
13.9339,24.7894,1.0469,1.0469
13.9339,24.7223,1.0597,1.0597
13.8669,24.6553,1.0807,1.0807
13.7998,24.5883,1.0910,1.0910
13.7328,24.5213,1.0910,1.0910
13.6658,24.4543,1.0910,1.0910
13.5988,24.3872,1.0807,1.0807
13.5318,24.3202,1.0597,1.0597
13.4647,24.2532,1.0469,1.0469
13.3977,24.2532,1.0469,1.0469
13.3307,24.1862,1.0597,1.0597
13.2637,24.1192,1.0807,1.0807
13.1967,24.0521,1.0597,1.0597
13.1296,24.0521,1.0597,1.0597
13.0626,23.9851,1.0807,1.0807
12.9956,23.9181,1.0597,1.0597
12.9286,23.9181,1.0597,1.0597
12.8616,23.8511,1.0807,1.0807
12.7945,23.8511,1.0490,1.0490
12.7275,23.7841,1.0807,1.0807
12.6605,23.7841,1.0490,1.0490
12.5935,23.7170,1.0597,1.0597
12.5265,23.7170,1.0597,1.0597
12.4594,23.7170,1.0404,1.0404
12.3924,23.7170,1.0208,1.0208
12.3254,23.6500,1.0597,1.0597
12.2584,23.6500,1.0404,1.0404
12.1914,23.5830,1.0807,1.0807
12.1243,23.5830,1.0597,1.0597
12.0573,23.5830,1.0404,1.0404
11.9903,23.5830,1.0252,1.0252
11.9233,23.5830,1.0142,1.0142
11.8563,23.5830,1.0075,1.0075
11.7892,23.5160,1.0597,1.0597
11.7222,23.5160,1.0404,1.0404
11.6552,23.5160,1.0252,1.0252
11.5882,23.5160,1.0142,1.0142
11.5212,23.5160,1.0075,1.0075
11.4541,23.5160,1.0053,1.0053
11.3871,23.5160,1.0053,1.0053
11.3201,23.5160,1.0053,1.0053
11.2531,23.4490,1.0723,1.0723
11.1861,23.4490,1.0723,1.0723
11.1190,23.5160,1.0053,1.0053
11.0520,23.5160,1.0053,1.0053
10.9850,23.5160,1.0053,1.0053
10.9180,23.5160,1.0075,1.0075
10.8510,23.5160,1.0142,1.0142
10.7839,23.5160,1.0252,1.0252
10.7169,23.5160,1.0404,1.0404
10.6499,23.5830,0.9963,0.9963
10.5829,23.5830,1.0075,1.0075
10.5159,23.5830,1.0142,1.0142
10.4488,23.5830,1.0252,1.0252
10.3818,23.5830,1.0404,1.0404
10.3148,23.5830,1.0597,1.0597
10.2478,23.6500,1.0208,1.0208
10.1808,23.6500,1.0490,1.0490
10.1137,23.6500,1.0807,1.0807
10.0467,23.7170,1.0490,1.0490
9.9797,23.7170,1.0807,1.0807
9.9127,23.7170,1.0807,1.0807
9.8457,23.7841,1.0807,1.0807
9.7786,23.7841,1.0597,1.0597
9.7116,23.8511,1.0807,1.0807
9.6446,23.9181,1.0490,1.0490
9.5776,23.9181,1.0807,1.0807
9.5106,23.9851,1.0597,1.0597
9.4435,23.9851,1.0597,1.0597
9.3765,24.0521,1.0807,1.0807
9.3095,24.1192,1.0910,1.0910
9.2425,24.1862,1.0910,1.0910
9.1755,24.2532,1.0910,1.0910
9.1084,24.2532,1.0469,1.0469
9.0414,24.3202,1.0597,1.0597
8.9744,24.3872,1.0597,1.0597
8.9074,24.4543,1.0469,1.0469
8.9074,24.5213,1.0910,1.0910
8.8404,24.5883,1.0910,1.0910
8.7733,24.6553,1.0807,1.0807
8.7063,24.7223,1.0597,1.0597
8.6393,24.7894,1.0469,1.0469
8.6393,24.8564,1.0807,1.0807
8.5723,24.9234,1.0597,1.0597
8.5723,24.9904,1.0597,1.0597
8.5053,25.0574,1.0807,1.0807
8.5053,25.1245,1.0490,1.0490
8.4382,25.1915,1.0807,1.0807
8.3712,25.2585,1.0490,1.0490
8.3712,25.3255,1.0807,1.0807
8.3712,25.3925,1.0490,1.0490
8.3712,25.4596,1.0208,1.0208
8.3042,25.5266,1.0597,1.0597
8.3042,25.5936,1.0404,1.0404
8.3042,25.6606,1.0208,1.0208
8.2372,25.7276,1.0597,1.0597
8.2372,25.7947,1.0404,1.0404
8.2372,25.8617,1.0252,1.0252
8.2372,25.9287,1.0142,1.0142
8.2372,25.9957,1.0075,1.0075
8.1702,26.0627,1.0597,1.0597
8.1702,26.1298,1.0404,1.0404
