# x_m,y_m,w_tr_right_m,w_tr_left_m
-40.6664,2.8162,1.2342,1.2342
-40.6664,2.7512,1.2152,1.2152
-40.6664,2.6861,1.1995,1.1995
-40.6664,2.6211,1.1871,1.1871
-40.6014,2.5560,1.2428,1.2428
-40.6014,2.4910,1.2342,1.2342
-40.6014,2.4259,1.2152,1.2152
-40.6014,2.3609,1.1995,1.1995
-40.5363,2.2958,1.2513,1.2513
-40.5363,2.2308,1.2428,1.2428
-40.5363,2.1657,1.2377,1.2377
-40.5363,2.1007,1.2359,1.2359
-40.5363,2.0356,1.2359,1.2359
-40.5363,1.9706,1.2342,1.2342
-40.5363,1.9055,1.2152,1.2152
-40.5363,1.8405,1.1995,1.1995
-40.5363,1.7754,1.1871,1.1871
-40.5363,1.7104,1.1781,1.1781
-40.5363,1.6453,1.1727,1.1727
-40.4713,1.5803,1.2359,1.2359
-40.4713,1.5152,1.2359,1.2359
-40.4713,1.4502,1.2359,1.2359
-40.4713,1.3851,1.2359,1.2359
-40.4713,1.3201,1.2359,1.2359
-40.4713,1.2550,1.2359,1.2359
-40.4713,1.1900,1.2359,1.2359
-40.4713,1.1249,1.2359,1.2359
-40.4713,1.0599,1.2359,1.2359
-40.4713,0.9948,1.2359,1.2359
-40.4713,0.9298,1.2359,1.2359
-40.4713,0.8647,1.2359,1.2359
-40.4713,0.7997,1.2359,1.2359
-40.4713,0.7346,1.2359,1.2359
-40.4713,0.6696,1.2359,1.2359
-40.4713,0.6045,1.2359,1.2359
-40.4713,0.5395,1.2359,1.2359
-40.4713,0.4744,1.2359,1.2359
-40.4713,0.4094,1.2359,1.2359
-40.5363,0.3443,1.1727,1.1727
-40.5363,0.2793,1.1781,1.1781
-40.5363,0.2142,1.1871,1.1871
-40.5363,0.1492,1.1995,1.1995
-40.5363,0.0841,1.2152,1.2152
-40.5363,0.0191,1.2342,1.2342
-40.5363,-0.0460,1.2359,1.2359
-40.5363,-0.1110,1.2377,1.2377
-40.5363,-0.1761,1.2428,1.2428
-40.5363,-0.2411,1.2513,1.2513
-40.6014,-0.3062,1.1995,1.1995
-40.6014,-0.3712,1.2152,1.2152
-40.6014,-0.4363,1.2342,1.2342
-40.6014,-0.5013,1.2428,1.2428
-40.6014,-0.5664,1.2513,1.2513
-40.6664,-0.6314,1.1995,1.1995
-40.6664,-0.6965,1.2152,1.2152
-40.6664,-0.7615,1.2342,1.2342
-40.6664,-0.8266,1.2428,1.2428
-40.6664,-0.8916,1.2513,1.2513
